"year_month","primary_type","ward","crime_count","was_arrested_count","was_domestic_count"
"2017-01","ARSON",2,1,0,0
"2017-01","ARSON",4,1,0,0
"2017-01","ARSON",6,3,0,0
"2017-01","ARSON",8,3,0,0
"2017-01","ARSON",9,1,0,0
"2017-01","ARSON",12,1,0,0
"2017-01","ARSON",15,2,0,0
"2017-01","ARSON",16,2,0,0
"2017-01","ARSON",18,1,0,0
"2017-01","ARSON",20,7,0,0
"2017-01","ARSON",24,2,0,0
"2017-01","ARSON",26,3,0,0
"2017-01","ARSON",27,1,0,0
"2017-01","ARSON",28,1,0,0
"2017-01","ARSON",29,1,0,0
"2017-01","ARSON",30,2,0,0
"2017-01","ARSON",31,1,0,0
"2017-01","ARSON",33,3,0,0
"2017-01","ARSON",34,1,0,0
"2017-01","ARSON",45,1,1,0
"2017-01","ASSAULT",1,22,3,6
"2017-01","ASSAULT",2,44,4,20
"2017-01","ASSAULT",3,43,4,12
"2017-01","ASSAULT",4,25,2,5
"2017-01","ASSAULT",5,36,2,15
"2017-01","ASSAULT",6,70,11,29
"2017-01","ASSAULT",7,44,11,16
"2017-01","ASSAULT",8,51,11,18
"2017-01","ASSAULT",9,44,12,19
"2017-01","ASSAULT",10,28,6,8
"2017-01","ASSAULT",11,20,4,4
"2017-01","ASSAULT",12,20,4,7
"2017-01","ASSAULT",13,9,1,1
"2017-01","ASSAULT",14,15,3,4
"2017-01","ASSAULT",15,32,10,12
"2017-01","ASSAULT",16,38,9,18
"2017-01","ASSAULT",17,61,7,29
"2017-01","ASSAULT",18,27,6,8
"2017-01","ASSAULT",19,12,2,6
"2017-01","ASSAULT",20,50,7,19
"2017-01","ASSAULT",21,47,9,18
"2017-01","ASSAULT",22,17,2,5
"2017-01","ASSAULT",23,12,3,5
"2017-01","ASSAULT",24,56,8,17
"2017-01","ASSAULT",25,18,3,8
"2017-01","ASSAULT",26,11,1,4
"2017-01","ASSAULT",27,41,7,11
"2017-01","ASSAULT",28,53,13,17
"2017-01","ASSAULT",29,42,7,13
"2017-01","ASSAULT",30,21,2,4
"2017-01","ASSAULT",31,27,6,7
"2017-01","ASSAULT",32,15,4,3
"2017-01","ASSAULT",33,8,0,0
"2017-01","ASSAULT",34,39,5,14
"2017-01","ASSAULT",35,12,3,1
"2017-01","ASSAULT",36,13,3,4
"2017-01","ASSAULT",37,37,5,15
"2017-01","ASSAULT",38,14,2,6
"2017-01","ASSAULT",39,9,1,0
"2017-01","ASSAULT",40,19,2,3
"2017-01","ASSAULT",41,15,1,2
"2017-01","ASSAULT",42,37,10,2
"2017-01","ASSAULT",43,11,1,2
"2017-01","ASSAULT",44,15,0,1
"2017-01","ASSAULT",45,17,2,2
"2017-01","ASSAULT",46,18,3,3
"2017-01","ASSAULT",47,11,3,2
"2017-01","ASSAULT",48,13,3,1
"2017-01","ASSAULT",49,18,3,6
"2017-01","ASSAULT",50,14,3,5
"2017-01","BATTERY",1,51,10,18
"2017-01","BATTERY",2,119,19,53
"2017-01","BATTERY",3,117,32,71
"2017-01","BATTERY",4,64,5,41
"2017-01","BATTERY",5,97,22,65
"2017-01","BATTERY",6,144,26,93
"2017-01","BATTERY",7,138,31,97
"2017-01","BATTERY",8,124,31,81
"2017-01","BATTERY",9,93,29,64
"2017-01","BATTERY",10,81,23,61
"2017-01","BATTERY",11,27,8,14
"2017-01","BATTERY",12,40,11,16
"2017-01","BATTERY",13,32,10,23
"2017-01","BATTERY",14,55,11,31
"2017-01","BATTERY",15,102,25,70
"2017-01","BATTERY",16,99,21,65
"2017-01","BATTERY",17,153,38,113
"2017-01","BATTERY",18,71,12,42
"2017-01","BATTERY",19,27,4,11
"2017-01","BATTERY",20,101,20,74
"2017-01","BATTERY",21,126,24,83
"2017-01","BATTERY",22,44,14,23
"2017-01","BATTERY",23,34,7,23
"2017-01","BATTERY",24,215,38,133
"2017-01","BATTERY",25,52,10,25
"2017-01","BATTERY",26,53,14,30
"2017-01","BATTERY",27,103,11,51
"2017-01","BATTERY",28,157,37,91
"2017-01","BATTERY",29,90,21,54
"2017-01","BATTERY",30,49,10,30
"2017-01","BATTERY",31,45,8,26
"2017-01","BATTERY",32,24,3,13
"2017-01","BATTERY",33,43,8,29
"2017-01","BATTERY",34,105,17,76
"2017-01","BATTERY",35,40,14,19
"2017-01","BATTERY",36,28,6,13
"2017-01","BATTERY",37,105,18,77
"2017-01","BATTERY",38,34,8,17
"2017-01","BATTERY",39,35,5,22
"2017-01","BATTERY",40,34,4,17
"2017-01","BATTERY",41,29,9,13
"2017-01","BATTERY",42,114,25,23
"2017-01","BATTERY",43,31,5,7
"2017-01","BATTERY",44,37,8,7
"2017-01","BATTERY",45,31,5,19
"2017-01","BATTERY",46,42,8,15
"2017-01","BATTERY",47,19,3,4
"2017-01","BATTERY",48,34,6,14
"2017-01","BATTERY",49,45,8,24
"2017-01","BATTERY",50,30,7,16
"2017-01","BURGLARY",1,40,1,0
"2017-01","BURGLARY",2,27,1,0
"2017-01","BURGLARY",3,33,4,0
"2017-01","BURGLARY",4,13,1,0
"2017-01","BURGLARY",5,32,2,0
"2017-01","BURGLARY",6,43,3,1
"2017-01","BURGLARY",7,36,0,1
"2017-01","BURGLARY",8,34,1,2
"2017-01","BURGLARY",9,37,3,1
"2017-01","BURGLARY",10,17,2,0
"2017-01","BURGLARY",11,25,0,0
"2017-01","BURGLARY",12,10,0,0
"2017-01","BURGLARY",13,27,0,0
"2017-01","BURGLARY",14,25,1,1
"2017-01","BURGLARY",15,29,4,0
"2017-01","BURGLARY",16,35,1,0
"2017-01","BURGLARY",17,41,2,1
"2017-01","BURGLARY",18,40,1,0
"2017-01","BURGLARY",19,17,1,0
"2017-01","BURGLARY",20,30,1,0
"2017-01","BURGLARY",21,19,0,0
"2017-01","BURGLARY",22,10,0,1
"2017-01","BURGLARY",23,23,1,0
"2017-01","BURGLARY",24,35,0,0
"2017-01","BURGLARY",25,25,1,1
"2017-01","BURGLARY",26,25,2,0
"2017-01","BURGLARY",27,28,1,0
